                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.0338,                0.44247,                0.96351,                0.97406,                0.98028,                0.98714,                0.73048,                 1.0283,                0.38415,                0.97734,               0.006634,               0.006634,               0.006634
                     88,                  1.025,                0.43821,                0.95803,                0.97536,                0.97885,                 0.9869,                0.73144,                 1.0261,                0.38207,                 0.9771,              0.0065944,              0.0065944,              0.0065944
                     89,                 1.0255,                0.43798,                0.96218,                0.97652,                0.97741,                0.98696,                0.73209,                 1.0273,                0.38119,                0.97823,              0.0065548,              0.0065548,              0.0065548
                     90,                 1.0232,                0.43973,                0.95799,                0.97806,                0.97989,                0.98679,                0.73166,                 1.0242,                0.38171,                 0.9778,              0.0065152,              0.0065152,              0.0065152
                     91,                 1.0236,                0.43641,                0.95954,                0.97584,                 0.9809,                 0.9868,                0.73367,                  1.024,                0.37994,                0.97796,              0.0064756,              0.0064756,              0.0064756
                     92,                 1.0145,                0.43402,                 0.9589,                0.97766,                0.98159,                0.98697,                0.73156,                 1.0263,                0.38098,                0.97923,               0.006436,               0.006436,               0.006436
                     93,                  1.019,                0.43618,                0.95538,                0.97668,                0.98107,                0.98731,                0.73229,                 1.0232,                0.38149,                 0.9767,              0.0063964,              0.0063964,              0.0063964
                     94,                  1.022,                 0.4373,                0.95931,                0.97786,                0.98061,                0.98701,                0.73261,                 1.0257,                0.37957,                0.97925,              0.0063568,              0.0063568,              0.0063568
                     95,                 1.0197,                 0.4312,                0.95862,                0.97652,                0.97963,                0.98662,                0.73397,                 1.0237,                0.37868,                0.97941,              0.0063172,              0.0063172,              0.0063172
                     96,                 1.0198,                0.43521,                0.95714,                 0.9776,                0.98031,                0.98671,                 0.7345,                  1.021,                0.37826,                 0.9776,              0.0062776,              0.0062776,              0.0062776
                     97,                 1.0035,                0.42549,                0.95371,                0.97701,                0.98015,                 0.9871,                0.73274,                 1.0212,                0.37808,                0.97692,               0.006238,               0.006238,               0.006238
                     98,                 1.0087,                0.43078,                0.95759,                0.97276,                 0.9825,                0.98698,                0.73397,                 1.0188,                0.37727,                0.97637,              0.0061984,              0.0061984,              0.0061984
                     99,                 1.0048,                0.42893,                0.95391,                0.97673,                0.98111,                0.98681,                0.73371,                 1.0179,                0.37662,                0.97638,              0.0061588,              0.0061588,              0.0061588
                    100,                 1.0101,                0.42854,                0.95404,                0.97647,                0.98067,                0.98688,                0.73514,                 1.0168,                0.37546,                0.97684,              0.0061192,              0.0061192,              0.0061192
                    101,                 1.0109,                0.42992,                 0.9547,                0.97464,                 0.9835,                 0.9871,                0.73427,                  1.015,                0.37421,                0.97577,              0.0060796,              0.0060796,              0.0060796
                    102,                0.99582,                0.42315,                0.95496,                0.97604,                0.97963,                0.98685,                0.73607,                 1.0127,                0.37429,                0.97548,                0.00604,                0.00604,                0.00604
                    103,                  1.008,                 0.4269,                0.95441,                0.97691,                0.98093,                0.98692,                0.73634,                 1.0116,                0.37269,                0.97561,              0.0060004,              0.0060004,              0.0060004
                    104,                0.99876,                0.42301,                0.95456,                0.97761,                0.98069,                0.98693,                0.73672,                 1.0098,                0.37239,                0.97598,              0.0059608,              0.0059608,              0.0059608
                    105,                 1.0028,                0.42645,                0.95296,                0.97702,                0.98054,                0.98699,                0.73742,                 1.0106,                0.37157,                0.97542,              0.0059212,              0.0059212,              0.0059212
                    106,                0.99056,                0.42209,                0.95153,                0.97828,                0.97976,                0.98705,                0.73882,                 1.0092,                0.37216,                0.97514,              0.0058816,              0.0058816,              0.0058816
                    107,                0.99726,                0.42439,                0.95281,                0.97849,                0.98028,                0.98737,                0.73829,                  1.008,                0.37213,                0.97457,               0.005842,               0.005842,               0.005842
                    108,                 0.9958,                0.42102,                0.95214,                0.97788,                0.98144,                 0.9875,                0.73881,                 1.0065,                0.37045,                0.97496,              0.0058024,              0.0058024,              0.0058024
                    109,                0.99124,                0.41961,                0.94929,                0.97813,                0.98067,                0.98734,                0.73903,                 1.0054,                0.36947,                0.97408,              0.0057628,              0.0057628,              0.0057628
                    110,                0.99455,                0.42417,                0.94896,                0.97854,                0.98041,                0.98786,                 0.7401,                 1.0068,                0.37072,                0.97474,              0.0057232,              0.0057232,              0.0057232
                    111,                0.98579,                0.42151,                0.94572,                0.97932,                0.98041,                0.98779,                0.73951,                 1.0054,                0.36988,                 0.9742,              0.0056836,              0.0056836,              0.0056836
                    112,                0.98456,                0.41689,                0.94908,                0.97766,                 0.9831,                  0.988,                 0.7406,                  1.003,                0.36912,                0.97342,               0.005644,               0.005644,               0.005644
                    113,                0.98757,                0.41803,                0.94722,                 0.9783,                0.98306,                 0.9878,                0.74108,                 1.0021,                 0.3682,                0.97262,              0.0056044,              0.0056044,              0.0056044
